"Node Id","Route No","Chainage Seq","Route Link No","Chainage"
"2","169750","1","169750801","0"
"2","178123","2","178123801","5415"
"3","5820","1","58208002","2095"
"3","159081","2","159081801","994"
"5","5910","1","59108002","2655"
"6","177640","1","177640801","2536"
"6","208493","2","208493801","528"
"11","2500","1","25008007","800"
"11","260323","2","260323801","0"
"18","5515","1","55158001","14842"
"18","152131","2","152131801","0"
"19","5044","1","50448001","1411"
"19","137023","2","137023801","918"
"22","5026","1","50268001","270"
"22","5044","2","50448001","722"
"22","148072","3","148072801","0"
"23","5811","1","58118003","9854"
"23","162321","2","162321801","469"
"24","2400","1","24008001","50413"
"25","2090","1","20908002","13802"
"25","156905","2","156905801","0"
"26","2090","1","20908002","14355"
"26","140262","2","140262801","850"
"26","188156","3","188156801","0"
"28","5840","1","58408001","10005"
"28","198894","2","198894801","0"
"31","2510","1","25100208","1779"
"31","198900","2","198900801","1534"
"34","5722","1","57228001","3354"
"34","206731","2","206731801","69"
"36","5041","1","50418001","1445"
"36","124599","2","124599801","0"
"36","211384","3","211384801","628"
"40","2460","1","24600202","7925"
"40","5770","2","57708004","52946"
"41","2460","1","24600302","10839"
"41","104800","2","104800801","0"
"78","2120","1","21200202","11501"
"78","109107","2","109107801","0"
"78","241596","3","241596801","0"
"80","4036","1","40368002","11383"
"80","5855","2","58558001","394"
"82","2090","1","20908002","13137"
"82","224336","2","224336801","870"
"83","5046","1","50468001","261"
"83","205222","2","205222801","1498"
"84","2270","1","22700201","901"
"84","2720","2","27208001","12536"
"84","5781","3","57810201","33"
"85","5071","1","50718001","310"
"85","5079","2","50798001","0"
"85","127457","3","127457801","62"
"85","204322","4","204322801","0"
"88","5871","1","58718001","130"
"88","205191","2","205191801","905"
"89","100528","1","100528801","736"
"89","109557","2","109557801","0"
"89","144721","3","144721801","113"
"90","152211","1","152211801","798"
"90","224248","2","224248801","774"
"91","174803","1","174803801","131"
"91","224248","2","224248801","622"
"92","2190","1","21900201","1272"
"92","153510","2","153510801","1109"
"93","5855","1","58558001","124"
"94","5500","1","55000301","10170"
"94","101119","2","101119801","28"
"96","5500","1","55000201","15399"
"97","4991","1","49918001","4256"
"97","195882","2","195882801","0"
"100","121079","1","121079801","698"
"100","152211","2","152211801","930"
"102","152211","1","152211801","1060"
"102","177640","2","177640801","698"
"106","2090","1","20908001","299"
"106","218104","2","218104801","0"
"107","2510","1","25100207","4288"
"107","171408","2","171408801","154"
"109","139787","1","139787801","261"
"109","177640","2","177640801","1100"
"111","5840","1","58408001","9619"
"111","153486","2","153486801","0"
"115","5607","1","56078002","5811"
"115","133500","2","133500801","45"
"116","142909","1","142909801","523"
"116","206698","2","206698801","929"
"119","5127","1","51270201","0"
"119","5871","2","58718001","233"
"119","5882","3","58828001","1573"
"120","2660","1","26600202","9754"
"120","2660","2","26600302","9754"
"120","2660","3","26608002","9754"
"120","5845","4","58458001","4037"
