"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"12000000586 ","57539","5760"
"12000001526 ","45858","100369"
"12000001708 ","37424","9497"
"12000001947 ","41444","5924"
"12000002238 ","40357","106095"
"12000002625 ","36261","9315"
"12000002693 ","29592","9519"
"12000002991 ","29416","9375"
"12000003984 ","42746","6207"
"12000004036 ","673","5849"
"12000004088 ","10679","1002"
"12000004125 ","36214","9298"
"12000004157 ","45851","5470"
"12000005281 ","57873","9475"
"12000005339 ","37049","9439"
"12000005346 ","787","6139"
"12000005399 ","37592","9490"
"12000005410 ","36782","6448"
"12000005435 ","41406","105931"
"12000005485 ","40091","9515"
"12000005491 ","37592","9490"
"12000005502 ","29386","9210"
"12000005507 ","29887","1002"
"12000006046 ","42816","6384"
"12000006269 ","40093","9514"
"12000006345 ","37592","9490"
"12000006402 ","42197","6153"
"12000006634 ","36398","101547"
"12000006649 ","40238","5465"
"12000006703 ","37697","5510"
"12000006722 ","41194","103819"
"12000006816 ","35413","5528"
"12000006906 ","35408","9510"
"12000007072 ","35634","6511"
"12000007105 ","37302","9365"
"12000007152 ","699","100890"
"12000007396 ","40091","9515"
"12000007400 ","10381","1002"
"12000007817 ","29387","9395"
"12000007820 ","45952","9274"
"12000007862 ","391","5520"
"12000007888 ","45938","9328"
"12000008027 ","45924","106072"
"12000008233 ","41197","5799"
"12000008284 ","45969","100927"
"12000008295 ","22","9260"
"12000008360 ","587","5653"
"12000008398 ","42290","6037"
"12000008417 ","36525","101711"
"12000008444 ","36230","9314"
"12000008884 ","929","6605"
"12000009117 ","29390","104777"
"12000009350 ","37049","9439"
"12000009717 ","36210","9279"
"12000009721 ","10760","100578"
"12000009755 ","29387","9395"
"12000009909 ","41420","5916"
"12000010011 ","57528","5668"
"12000010368 ","45825","100829"
"12000010418 ","40329","5637"
"12000010928 ","46018","5911"
"12000011056 ","42866","6323"
"12000011340 ","37585","9474"
"12000011345 ","57539","5760"
"12000011350 ","42767","6225"
"12000011352 ","42810","6242"
"12000011355 ","755","6049"
"12000011792 ","46033","5978"
"12000012109 ","29416","9375"
"12000012117 ","45851","5470"
"12000012492 ","37597","9494"
"12000012548 ","36983","9445"
"12000012557 ","35576","6123"
"12000012683 ","169","9305"
"12000013206 ","46069","100289"
"12000013366 ","35368","100860"
"12000013488 ","41553","5779"
"12000013491 ","29438","9372"
"12000013536 ","41366","5894"
"12000013586 ","57585","6103"
"12000014013 ","128585","104507"
"12000014043 ","46080","6120"
"12000014184 ","243","9389"
"12000014302 ","10679","1002"
"12000014321 ","37592","9490"
"12000014326 ","37592","9490"
"12000014343 ","35408","9510"
"12000014398 ","37585","9474"
"12000014472 ","22","9260"
"12000014558 ","42805","6348"
"12000014743 ","46048","106118"
"12000014781 ","222061","1005"
"12000014991 ","46100","6051"
"12000015211 ","36261","9315"
"12000015304 ","29464","9498"
"12000015350 ","57521","5623"
"12000015387 ","41145","104623"
"12000015406 ","37585","9474"
"12000015549 ","41208","5990"
"12000015564 ","29375","9241"
"12000015648 ","46099","5613"
"12000015654 ","29592","9519"
"12000015762 ","37916","9186"
"12000015793 ","35408","9510"
"12000015821 ","42689","6214"
"12000015833 ","36221","9233"
"12000015933 ","40091","9515"
"12000016137 ","36208","9264"
"12000016278 ","35304","9276"
"12000016613 ","35408","9510"
"12000016634 ","40075","102167"
"12000016647 ","29592","9519"
"12000016669 ","36221","9233"
"12000016682 ","42815","6381"
"12000016691 ","35634","6511"
"12000017040 ","36287","9316"
"12000017186 ","37690","5488"
"12000017194 ","40140","9548"
"12000017197 ","36208","9264"
"12000017307 ","10381","1002"
"12000017530 ","29592","9519"
"12000017606 ","83","9299"
"12000017644 ","57585","6103"
"12000017680 ","42155","6101"
"12000017949 ","42746","6207"
"12000017962 ","46158","9453"
"12000017989 ","41152","103439"
"12000017994 ","35714","9155"
"12000018023 ","36214","9298"
"12000018125 ","29387","9395"
"12000018145 ","37694","100906"
"12000018151 ","29387","9395"
"12000018167 ","45974","5566"
"12000018239 ","36287","9316"
"12000018393 ","41635","5811"
"12000018402 ","66274","104098"
"12000018435 ","10679","1002"
"12000018478 ","35346","9475"
"12000018530 ","37049","9439"
"12000018595 ","22","9260"
"12000018625 ","600","5563"
"12000018626 ","29396","9329"
"12000018667 ","41470","5827"
"12000018671 ","37678","100907"
"12000018797 ","37585","9474"
"12000018873 ","40238","5465"
"12000018875 ","599","5491"
"12000018888 ","37590","9484"
"12000018971 ","46169","9379"
"12000019046 ","42197","6153"
"12000019061 ","37592","9490"
"12000019247 ","36220","9200"
"12000019263 ","37587","9463"
"12000019384 ","40377","5607"
"12000019447 ","29438","9372"
"12000019456 ","37590","9484"
"12000019512 ","45952","9274"
"12000019525 ","41151","9573"
"12000019644 ","36587","104543"
"12000019745 ","41348","6003"
"12000019767 ","47484","6488"
"12000019863 ","36152","106118"
"12000019867 ","42016","101835"
"12000020431 ","53676","103271"
"12000020491 ","70569","6339"
"12000020514 ","36463","102041"
"12000020520 ","37713","9451"
"12000020544 ","40093","9514"
"12000020611 ","42746","6207"
"12000020732 ","599","5491"
"12000020851 ","129399","9449"
"12000020855 ","40140","9548"
"12000020987 ","46195","5891"
"12000021002 ","29592","9519"
"12000021152 ","129304","5911"
"12000021368 ","46050","6300"
"12000021461 ","37592","9490"
"12000021498 ","41116","9559"
"12000021672 ","37583","9452"
"12000021719 ","37321","9379"
"12000021741 ","36848","5971"
"12000021763 ","46234","5508"
"12000021788 ","42411","6087"
"12000022018 ","37592","9490"
"12000022082 ","29887","1002"
"12000022175 ","35726","5487"
"12000022227 ","40153","5561"
"12000022434 ","37592","9490"
"12000022443 ","70548","6330"
"12000022518 ","37175","9427"
"12000022522 ","45952","9274"
"12000022741 ","37693","100906"
"12000022749 ","40155","5582"
"12000022937 ","41376","5796"
"12000022940 ","46242","100103"
"12000023307 ","57918","5726"
"12000023611 ","41415","102688"
"12000023617 ","42815","6381"
"12000023668 ","57541","5765"
"12000023668 ","57541","102478"
"12000023693 ","36210","9279"
"12000023830 ","46231","102925"
"12000023878 ","37624","106078"
"12000024111 ","37161","9372"
"12000024486 ","10679","1002"
"12000024661 ","41140","103512"
"12000024984 ","46284","106082"
"12000024992 ","45641","9164"
"12000025205 ","37057","9350"
"12000025215 ","10610","1001"
"12000025302 ","36997","103646"
"12000025325 ","22","9260"
"12000025403 ","46283","9261"
"12000025473 ","36214","9298"
"12000025520 ","37597","9494"
"12000025663 ","40164","103613"
"12000025864 ","222061","1005"
"12000025909 ","91640","5491"
"12000025912 ","57539","5760"
"12000026027 ","119","9473"
"12000026116 ","37712","9449"
"12000026291 ","36208","9264"
"12000026358 ","36221","9233"
"12000026363 ","35993","9163"
"12000026560 ","40093","9514"
"12000026562 ","36567","104546"
"12000026602 ","29386","9210"
"12000026650 ","45938","9328"
"12000026808 ","37714","9449"
"12000026841 ","29386","9210"
"12000027083 ","45819","5444"
"12000027360 ","129628","104336"
"12000027460 ","36214","9298"
"12000027484 ","773","6160"
"12000027588 ","66274","104098"
"12000027667 ","41470","5827"
"12000027696 ","41473","5867"
"12000027726 ","42146","6172"
"12000027741 ","35408","9510"
"12000027785 ","35413","5528"
"12000027794 ","46316","9361"
"12000027808 ","37600","9505"
"12000027833 ","66274","104098"
"12000027860 ","11171","9243"
"12000028153 ","57539","5760"
"12000028174 ","54280","9406"
"12000028273 ","57539","5760"
"12000028308 ","66274","104098"
"12000028333 ","36220","9200"
"12000028353 ","37143","9418"
"12000028412 ","29872","9578"
"12000028630 ","43269","104561"
"12000028631 ","45938","9328"
"12000028845 ","35413","5528"
"12000029016 ","37788","5457"
"12000029114 ","35408","9510"
"12000029283 ","37916","9186"
"12000029494 ","242","9424"
"12000029685 ","36210","9279"
"12000029749 ","371","9470"
"12000029839 ","35350","105479"
"12000029867 ","79972","9460"
"12000030027 ","46375","9383"
"12000030050 ","37587","9463"
"12000030104 ","36994","9424"
"12000030539 ","130248","9322"
"12000030678 ","43219","6474"
"12000030682 ","36287","9316"
"12000030771 ","169","9305"
"12000030826 ","40084","101752"
"12000030958 ","46385","101276"
"12000031011 ","29387","9395"
"12000031229 ","36974","9355"
"12000031319 ","42823","6429"
"12000031343 ","29390","104777"
"12000031355 ","37788","5457"
"12000031369 ","40357","106095"
"12000031433 ","35546","5754"
"12000031433 ","35546","101261"
"12000031720 ","41236","102692"
"12000031748 ","36230","9314"
"12000031881 ","42123","101320"
"12000031953 ","42467","6083"
"12000032018 ","40091","9515"
"12000032073 ","29387","9395"
"12000032079 ","119","9473"
"12000032113 ","36946","102590"
"12000032132 ","36221","9233"
"12000032463 ","837","6339"
"12000032535 ","37720","5441"
"12000032810 ","46375","9383"
"12000032854 ","37321","9379"
"12000032983 ","37624","106078"
"12000033152 ","37161","9372"
"12000033260 ","41116","9559"
"12000033562 ","29872","9578"
"12000033652 ","42805","6348"
"12000033691 ","37049","9439"
"12000033717 ","29591","9544"
"12000033723 ","75394","102868"
"12000033776 ","37587","9463"
"12000033912 ","323","104099"
"12000033939 ","46463","6224"
"12000034042 ","42744","6221"
"12000034211 ","46471","6235"
"12000034266 ","264","9439"
"12000034607 ","85","1005"
"12000034665 ","37592","9490"
"12000034728 ","37788","5457"
"12000034821 ","46501","102868"
"12000034902 ","169","9305"
"12000034911 ","43170","6432"
"12000035016 ","42865","6309"
"12000035038 ","40110","102496"
"12000035048 ","42228","6142"
"12000035071 ","130783","9403"
"12000035392 ","37295","9341"
"12000035495 ","37630","106079"
"12000035505 ","11171","9243"
"12000035562 ","35304","9276"
"12000036019 ","42454","6131"
"12000036035 ","29464","9498"
"12000036055 ","37697","5510"
"12000036175 ","83","9299"
"12000036210 ","46519","5510"
"12000036345 ","37919","9186"
"12000036495 ","119","9473"
"12000036509 ","37585","9474"
"12000036543 ","35387","9426"
"12000036573 ","36214","9298"
"12000036844 ","673","5849"
"12000036879 ","37702","5528"
"12000037187 ","42197","6153"
"12000037249 ","57521","5623"
"12000037261 ","36982","9440"
"12000037404 ","36932","9400"
"12000037725 ","46530","100392"
"12000037834 ","37590","9484"
"12000037941 ","29375","9241"
"12000037960 ","29425","9391"
"12000038020 ","46562","101777"
"12000038114 ","131183","6474"
"12000038115 ","36848","5971"
"12000038414 ","35304","9276"
"12000038518 ","119","9473"
"12000038537 ","35308","1001"
"12000038537 ","35308","9286"
"12000038545 ","36214","9298"
"12000038550 ","29386","9210"
"12000038668 ","37691","100905"
"12000038834 ","29387","9395"
"12000038881 ","10679","1002"
"12000039150 ","36782","6448"
"12000039202 ","37590","9484"
"12000039226 ","29591","9544"
"12000039358 ","36818","101329"
"12000039388 ","37585","9474"
"12000039405 ","35350","105479"
"12000039467 ","37585","9474"
"12000039473 ","45952","9274"
"12000039677 ","37916","9186"
"12000039835 ","42750","6234"
"12000040074 ","37585","9474"
"12000040078 ","29375","9241"
"12000040154 ","46617","101041"
"12000040188 ","10679","1002"
"12000040193 ","41150","106085"
"12000040197 ","119","9473"
"12000040211 ","42316","6042"
"12000040233 ","35408","9510"
"12000040288 ","42850","6382"
"12000040322 ","41174","103581"
"12000040354 ","587","5653"
"12000040404 ","29375","9241"
"12000040433 ","36291","9323"
"12000040604 ","42057","104664"
"12000040636 ","36818","101329"
"12000040931 ","29416","9375"
"12000040999 ","46221","6173"
"12001000022 ","42744","6221"
"12001000258 ","22","9260"
"12001000305 ","46648","9335"
"12001000474 ","37702","5528"
"12001000517 ","35350","105479"
"12001000541 ","45754","103581"
"12001000822 ","36084","102198"
"12001000852 ","42759","6261"
"12001001012 ","131648","5595"
"12001001017 ","119","9473"
"12001001066 ","36214","9298"
"12001001072 ","57544","100891"
"12001001103 ","35407","9499"
"12001001125 ","45938","9328"
"12001001140 ","46616","9362"
"12001001314 ","57585","6103"
"12001001366 ","42745","6212"
"12001001368 ","42818","6244"
"12001001708 ","35408","9510"
"12001001757 ","35304","9276"
"12001001788 ","36858","9413"
"12001001794 ","35510","5477"
"12001001955 ","323","104099"
"12001001986 ","57542","5771"
"12001001986 ","57542","104334"
"12001002128 ","46684","100102"
"12001002179 ","46672","9548"
"12001002245 ","57585","6103"
"12001002292 ","35350","105479"
"12001002343 ","36955","103636"
"12001002517 ","36590","104543"
"12001002592 ","369","9479"
"12001002742 ","29474","5441"
"12001002820 ","29386","9210"
"12001002839 ","57585","6103"
"12001002866 ","35387","9426"
"12001003026 ","29877","6511"
"12001003125 ","35304","9276"
"12001003150 ","29470","5433"
"12001003186 ","35408","9510"
"12001003226 ","46708","1002"
"12001003250 ","37585","9474"
"12001003453 ","29375","9241"
"12001003502 ","132040","9386"
"12001003547 ","46716","5882"
"12001003574 ","36232","9313"
"12001003781 ","83","9299"
"12001003784 ","132043","5877"
"12001003862 ","46712","102988"
"12001003910 ","35736","102977"
"12001003922 ","376","102938"
"12001003968 ","29375","9241"
"12001004063 ","596","103566"
"12001004235 ","383","5502"
"12001004503 ","37572","102300"
"12001004511 ","132122","1002"
"12001004669 ","35350","105479"
"12001004690 ","37587","9463"
"12001004735 ","29893","1001"
"12001004786 ","37049","9439"
"12001004890 ","29387","9395"
"12001004922 ","37769","102123"
"12001005133 ","36261","9315"
"12001005246 ","232890","6455"
"12001005267 ","132281","5434"
"12001005340 ","91659","5490"
"12001005594 ","11590","9475"
"12001005622 ","40093","9514"
"12001005675 ","29386","9210"
"12001005870 ","787","6139"
"12001005940 ","36210","9279"
"12001006093 ","41364","5894"
"12001006104 ","36210","9279"
"12001006181 ","37585","9474"
"12001006184 ","37173","9427"
"12001006204 ","42765","6224"
"12001006236 ","42183","6149"
"12001006388 ","41371","6008"
"12001006393 ","40177","5613"
"12001006413 ","37711","9451"
"12001006457 ","22","9260"
"12001006479 ","37295","9341"
"12001006484 ","83","9299"
"12001006487 ","132395","9322"
"12001006615 ","11613","100581"
"12001006658 ","37693","100906"
"12001006681 ","37616","106082"
"12001006708 ","37592","9490"
