"ACCIDENT_NO","SURFACE_COND","Surface Cond Desc","SURFACE_COND_SEQ"
"12000000389 ","9","Unknown","1"
"12000000554 ","1","Dry","1"
"12000000555 ","1","Dry","1"
"12000000559 ","1","Dry","1"
"12000000586 ","1","Dry","1"
"12000000781 ","1","Dry","1"
"12000000808 ","1","Dry","1"
"12000000810 ","1","Dry","1"
"12000001446 ","1","Dry","1"
"12000001526 ","1","Dry","1"
"12000001708 ","1","Dry","1"
"12000001731 ","1","Dry","1"
"12000001947 ","9","Unknown","1"
"12000002177 ","1","Dry","1"
"12000002238 ","1","Dry","1"
"12000002253 ","1","Dry","1"
"12000002264 ","1","Dry","1"
"12000002288 ","1","Dry","1"
"12000002458 ","1","Dry","1"
"12000002490 ","1","Dry","1"
"12000002502 ","2","Wet","1"
"12000002504 ","1","Dry","1"
"12000002509 ","1","Dry","1"
"12000002511 ","1","Dry","1"
"12000002540 ","1","Dry","1"
"12000002549 ","1","Dry","1"
"12000002621 ","1","Dry","1"
"12000002625 ","1","Dry","1"
"12000002633 ","1","Dry","1"
"12000002642 ","1","Dry","1"
"12000002643 ","1","Dry","1"
"12000002646 ","1","Dry","1"
"12000002652 ","1","Dry","1"
"12000002657 ","1","Dry","1"
"12000002662 ","1","Dry","1"
"12000002667 ","1","Dry","1"
"12000002669 ","2","Wet","1"
"12000002693 ","1","Dry","1"
"12000002696 ","1","Dry","1"
"12000002706 ","1","Dry","1"
"12000002709 ","1","Dry","1"
"12000002716 ","1","Dry","1"
"12000002721 ","1","Dry","1"
"12000002722 ","1","Dry","1"
"12000002738 ","1","Dry","1"
"12000002739 ","1","Dry","1"
"12000002740 ","1","Dry","1"
"12000002741 ","1","Dry","1"
"12000002748 ","1","Dry","1"
"12000002750 ","1","Dry","1"
"12000002762 ","1","Dry","1"
"12000002764 ","1","Dry","1"
"12000002774 ","1","Dry","1"
"12000002813 ","2","Wet","1"
"12000002917 ","1","Dry","1"
"12000002919 ","1","Dry","1"
"12000002925 ","1","Dry","1"
"12000002991 ","1","Dry","1"
"12000003068 ","1","Dry","1"
"12000003076 ","1","Dry","1"
"12000003082 ","1","Dry","1"
"12000003098 ","1","Dry","1"
"12000003136 ","1","Dry","1"
"12000003137 ","1","Dry","1"
"12000003139 ","2","Wet","1"
"12000003183 ","1","Dry","1"
"12000003420 ","1","Dry","1"
"12000003537 ","1","Dry","1"
"12000003564 ","1","Dry","1"
"12000003584 ","1","Dry","1"
"12000003725 ","1","Dry","1"
"12000003882 ","1","Dry","1"
"12000003885 ","1","Dry","1"
"12000003949 ","1","Dry","1"
"12000003954 ","2","Wet","1"
"12000003956 ","1","Dry","1"
"12000003966 ","1","Dry","1"
"12000003969 ","1","Dry","1"
"12000003971 ","1","Dry","1"
"12000003984 ","1","Dry","1"
"12000004036 ","1","Dry","1"
"12000004042 ","1","Dry","1"
"12000004069 ","1","Dry","1"
"12000004074 ","1","Dry","1"
"12000004082 ","1","Dry","1"
"12000004088 ","1","Dry","1"
"12000004098 ","1","Dry","1"
"12000004105 ","1","Dry","1"
"12000004112 ","1","Dry","1"
"12000004125 ","1","Dry","1"
"12000004157 ","1","Dry","1"
"12000004319 ","1","Dry","1"
"12000004434 ","1","Dry","1"
"12000004469 ","1","Dry","1"
"12000004487 ","1","Dry","1"
"12000004496 ","1","Dry","1"
"12000004507 ","1","Dry","1"
"12000004529 ","1","Dry","1"
"12000004574 ","1","Dry","1"
"12000004592 ","1","Dry","1"
"12000004595 ","1","Dry","1"
"12000004596 ","1","Dry","1"
"12000004611 ","1","Dry","1"
"12000004626 ","1","Dry","1"
"12000004631 ","1","Dry","1"
"12000004644 ","1","Dry","1"
"12000004647 ","1","Dry","1"
"12000004651 ","1","Dry","1"
"12000004708 ","1","Dry","1"
